"id","name","city","state","type","filename"
"venue-5aa78406fb28353c5513288e","Fillmore","Denver","CO","Auditorium","fillmore_denver"
"venue-5aa78406fb28353c5513288f","Hard Rock","Riviera Maya","Mexico","Resort","hardrock_rivieramaya"
"venue-5aa78406fb28353c55132890","Red Rocks","Morrison","CO","Amphitheatre","redrocks_morrison"
"venue-5aa78406fb28353c55132891","Ryman","Nashville","TN","Auditorium","ryman_nashville"
"venue-5aa78406fb28353c55132892","Wrigley Field","Chicago","IL","Stadium","wrigleyfield_chicago"
"venue-5aa78406fb28353c55132893","YETI Flagship","Austin","TX","Store","yetiflagship_austin"
