"id","date","eventType","contact","venue","filename"
"event-5aa78406fb28353c55132811","7/2/2017","Concert","contact-5aa78406fb28353c5513289b","venue-5aa78406fb28353c55132890","20170702_umphreysmcgoo_redrocks"
"event-5aa78406fb28353c5513289e","1/31/2015","Concert","contact-5aa78406fb28353c55132894","venue-5aa78406fb28353c5513288f","20150131_mymorningjacket_onebigholiday"
"event-5aa78406fb28353c5513289f","2/1/2015","Concert","contact-5aa78406fb28353c55132894","venue-5aa78406fb28353c5513288f","20150201_mymorningjacket_onebigholiday"
"event-5aa78406fb28353c551328a0","2/3/2015","Concert","contact-5aa78406fb28353c55132894","venue-5aa78406fb28353c5513288f","20150203_mymorningjacket_onebigholiday"
"event-5aa78406fb28353c551328a1","8/20/2016","Concert","contact-5aa78406fb28353c55132896","venue-5aa78406fb28353c55132892","20160820_pearljam_wrigley"
"event-5aa78406fb28353c551328a2","8/22/2016","Concert","contact-5aa78406fb28353c55132896","venue-5aa78406fb28353c55132892","20160822_pearljam_wrigley"
"event-5aa78406fb28353c551328a3","6/29/2017","Product Launch","contact-5aa78406fb28353c5513289d","venue-5aa78406fb28353c55132893","20170629_yeticoolers_productlaunch"
"event-5aa78406fb28353c551328a4","7/1/2017","Concert","contact-5aa78406fb28353c5513289b","venue-5aa78406fb28353c55132890","20170701_umphreysmcgoo_redrocks"
"event-5aa78406fb28353c551328a6","12/31/2017","Concert","contact-5aa78406fb28353c5513289b","venue-5aa78406fb28353c5513288e","20171231_umphreysmcgoo_nye"
